# M1939-0 Flight Profile (Up to date)
# 992 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (86.6 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
31.596,1.071e4,-97.338,NaN
32.096,1.066e4,-98.393,NaN
32.596,1.062e4,-99.097,NaN
33.096,1.057e4,-99.557,NaN
33.596,1.052e4,-99.848,NaN
34.096,1.047e4,-100.022,NaN
34.596,1.042e4,-100.115,NaN
35.096,1.037e4,-100.154,NaN
35.596,1.032e4,-100.155,NaN
36.096,1.027e4,-100.131,NaN
36.596,1.022e4,-100.09,NaN
37.096,1.017e4,-100.037,NaN
37.596,1.012e4,-99.977,NaN
38.096,1.007e4,-99.911,NaN
38.596,1.002e4,-99.842,NaN
39.096,9965.472,-99.77,NaN
39.596,9915.606,-99.697,NaN
40.096,9865.775,-99.623,NaN
40.596,9815.982,-99.549,NaN
41.096,9766.227,-99.474,NaN
41.596,9716.509,-99.397,NaN
42.096,9666.83,-99.319,NaN
42.596,9617.19,-99.241,NaN
43.096,9567.589,-99.162,NaN
43.596,9518.028,-99.084,NaN
44.096,9468.505,-99.006,NaN
44.596,9419.022,-98.927,NaN
45.096,9369.578,-98.849,NaN
45.596,9320.173,-98.772,NaN
46.096,9270.806,-98.694,NaN
46.596,9221.479,-98.617,NaN
47.096,9172.19,-98.54,NaN
47.596,9122.939,-98.463,NaN
48.096,9073.727,-98.387,NaN
48.596,9024.552,-98.31,NaN
49.096,8975.416,-98.235,NaN
49.596,8926.318,-98.159,NaN
50.096,8877.257,-98.084,NaN
50.596,8828.234,-98.009,NaN
51.096,8779.248,-97.934,NaN
51.596,8730.3,-97.86,NaN
52.096,8681.389,-97.785,NaN
52.596,8632.514,-97.712,NaN
53.096,8583.677,-97.638,NaN
53.596,8534.876,-97.565,NaN
54.096,8486.112,-97.492,NaN
54.596,8437.385,-97.419,NaN
55.096,8388.693,-97.346,NaN
55.596,8340.038,-97.274,NaN
56.096,8291.419,-97.202,NaN
56.596,8242.836,-97.13,NaN
57.096,8194.289,-97.059,NaN
57.596,8145.777,-96.988,NaN
58.096,8097.302,-96.915,NaN
58.596,8048.863,-96.842,NaN
59.096,8000.46,-96.768,NaN
59.596,7952.095,-96.694,NaN
60.096,7903.766,-96.62,NaN
60.596,7855.474,-96.547,NaN
61.096,7807.219,-96.473,NaN
61.596,7759.001,-96.4,NaN
62.096,7710.82,-96.326,NaN
62.596,7662.675,-96.253,NaN
63.096,7614.566,-96.181,NaN
63.596,7566.494,-96.108,NaN
64.096,7518.458,-96.036,NaN
64.596,7470.458,-95.964,NaN
65.096,7422.494,-95.893,NaN
65.596,7374.565,-95.821,NaN
66.096,7326.672,-95.75,NaN
66.596,7278.815,-95.679,NaN
67.096,7230.993,-95.609,NaN
67.596,7183.206,-95.538,NaN
68.096,7135.455,-95.468,NaN
68.596,7087.738,-95.398,NaN
69.096,7040.057,-95.329,NaN
69.596,6992.41,-95.259,NaN
70.096,6944.797,-95.19,NaN
70.596,6897.219,-95.121,NaN
71.096,6849.676,-95.053,NaN
71.596,6802.166,-94.984,NaN
72.096,6754.691,-94.916,NaN
72.596,6707.25,-94.848,NaN
73.096,6659.843,-94.781,NaN
73.596,6612.469,-94.714,NaN
74.096,6565.129,-94.646,NaN
74.596,6517.823,-94.579,NaN
75.096,6470.55,-94.511,NaN
75.596,6423.311,-94.443,NaN
76.096,6376.107,-94.374,NaN
76.596,6328.938,-94.304,NaN
77.096,6281.803,-94.235,NaN
77.596,6234.703,-94.166,NaN
78.096,6187.637,-94.096,NaN
78.596,6140.607,-94.027,NaN
79.096,6093.61,-93.958,NaN
79.596,6046.648,-93.89,NaN
80.096,5999.72,-93.822,NaN
80.596,5952.826,-93.753,NaN
81.096,5905.967,-93.685,NaN
81.596,5859.141,-93.618,NaN
82.096,5812.349,-93.55,NaN
82.596,5765.591,-93.483,NaN
